"nome","resumo","coordenador"
"PROGRAMA EMPODERADAS - PREVENÇÃO E ENFRENTAMENTO À VIOLÊNCIA CONTRA MENINAS E MULHERES","Empoderadas é fruto de uma metodologia desenvolvida pela especialista em segurança feminina e faixa preta de jiu-jitsu (5º grau) érika paes e em 2019 passa a integrar as ações do governo do estado do rio de janeiro na secretaria de estado de esporte lazer e juventude (seelje). O empoderadas também se insere como uma das iniciativas do programa estadual de enfrentamento ao feminicídio no estado do rio de janeiro instituído através da lei estadual nº 9.985 de 7 de novembro de 2022. Oferecer atividades direcionadas à população feminina do estado do rio de janeiro. Até o momento a sedsodh atuou na propagação de ações de “segurança feminina” dando ênfase às atividades esportivas além de criar uma rede de apoio e atendimento a todas as assistidas do programa proporcionando atendimento jurídico psicológico e de assistência social. Na ampliação do empoderadas prevista para o ano de 2023 pretende-se acrescer eixos voltados ao empreendedorismo feminino e à disseminação de informação e atendimentos em saúde da mulher.","Claudia Goncalves De Lima"
"MODALIDADES DE ATENDIMENTO A PESSOA IDOSA","Entre os pilares de atendimento a pessoa idosa temos a existência de modalidades distintas de acordo com a necessidade do indivíduo em questão. As modalidades consistem em internação hospitalar o atendimento ambulatorial especializado o centro-dia e a assistência domiciliar. O referido projeto refere-se às políticas públicas de atendimento às pessoas idosas com base em marcos legais. Através deste projeto acompanhou-se toda etapa da política nacional do idoso – lei 8.842/94 e o estatuto da pessoa idosa lei 10.741/2003 com suas alterações recentes bem como novas abordagens de procedimentos e mudanças de paradigmas no que se refere à definição de normas e padrões de funcionamento para serviços e programas de atenção a pessoa idosa consolidados nos âmbitos do estado e município respeitando indicadores socioeconômicos demandas e peculiaridades sócio culturais. Para além do acompanhamento às políticas públicas e serviços voltados à população idosa o projeto realiza discussão de tais temáticas através de encontros semanais com exibição de filmes e debates e rodas de conversas com pessoas idosas que frequentam a unati. As oficinas do centro de convivência da unati necessitam de inscrição prévia. O projeto tem atividades abertas sem necessidade de inscrição para ser porta aberta de acolhimento para os idosos que procuram a unati. .","Juliana Rosas Rodrigues"
"RECICLANDO SABERES E BOAS PRATICAS SOBRE ENVELHECIMENTO: HISTÓRIAS VIVENCIAS E ATIVISMO","Com o objetivo de atender as prerrogativas do estatuto do idoso em sua lei 10.741/2003 que no seu artigo 24 descreve que o os meios de comunicação manterão espaços ou horários especiais voltados aos idosos com finalidade informativa educativa artística e cultural e ao público sobre o processo de envelhecimento. A partir dessa perspectiva a unati pretende realizar “lives” destinada ao público em geral visando democratizar boas práticas acerca do processo de envelhecimento buscando fomentar o debate sobre o tema através da participação social dos envolvidos nas temáticas a serem desenvolvidas pelo projeto. Para ampliar o acesso aos conhecimentos divulgados pelo projeto ampliaremos a realização de cursos eventos e publicações todos em parceria com a sbgg/rj que está realizando convênio científico com a unati. Em 2022 a coordenadora do projeto se tornou presidente da gerontologia da sbgg/rj estreitando ainda mais tal parceria que segue até os dias atuais.","Sandra Rabello De Frias"
"PROGRAMA TRABALHO PROTEGIDO NA ADOLESCÊNCIA/PTPA - UERJ/FIA","O programa trabalho protegido na adolescência (ptpa) é fruto de uma parceria iniciada em 2019 entre a fundação para a infância e adolescência - fia e a uerj que revisa atualiza e dá prosseguimento ao programa de trabalho educativo iniciado em 1975 resultado da reformulação do programa patrulheirismo da fia criado em 1962. Trata-se do maior programa sócio assistencial da referida fundação que atua no sentido da promoção dos direitos de adolescentes em situação de vulnerabilidade social e consiste na oferta de um curso de formação seguido da possibilidade de estágio sendo esse realizado em instituições públicas ou privadas de modo a acompanhar estes adolescentes até que completem os seus dezoito anos. O público-alvo ao qual o programa compreende é formado por adolescentes com idade a partir de 15 até 18 anos incompletos em comprovada situação de vulnerabilidade social incluídos adolescentes com deficiências e aqueles em cumprimento de medidas socioeducativas. A parceria fia-uerj representa uma oportunidade valorosa para ambas as instituições em termos de aprendizado e troca de conhecimentos. No âmbito da universidade significa a possibilidade de ampliação da sua influência em setores estratégicos ao desenvolvimento humano e social mediante o exercício de suas atividades de pesquisa extensão e estágio curricular no estado do rio de janeiro.","Tatiane Alves Baptista"
"PRODEC - PROGRAMA DE ESTUDOS DESENVOLVIMENTO DO CONSUMIDOR E CIDADANIA","O programa de estudos e desenvolvimento do consumidor e cidadania –prodec foi criado através do ato executivo nº 026/1998 e atualizado pelo ato executivo nº 002/2011 da reitoria da universidade do estado do rio de janeiro com base no convênio firmado entre o estado do rio de janeiro através da secretaria de estado de justiça e a uerj com a parceria do programa estadual de orientação ao consumidor -procon/rj. Em 2016 através do aeda 011 o prodec consolidou a ampliação de suas ações na área da cidadania incorporando esta em seu nome permanecendo a mesma sigla prodec no entanto com ampliação do nome para programa de estudos e desenvolvimento do consumidor e cidadania. O prodec tem como propósito agir de forma preventiva antecipando-se ao conflito e difundindo o conhecimento na área do consumidor. Promovendo o equilíbrio nas relações de consumo de maneira ética e imparcial. O programa busca conciliar educação para o consumo com cidadania a fim de tornar consumidores e fornecedores mais conscientes de seus direitos e deveres. Nesse sentido o prodec tem se articulado com o público externo através de participações em comissões externas do int e abnt com reuniões periódicas sendo peça fundamental para certificação de produtos e manutenção da imparcialidade dessas comissões cumprindo exigência do inmetro onde além de sua participação formal o prodec prima pela divulgação de suas ações bem como da sub reitoria de extensão e cultura da uerj para a comunidade em geral.","Walmir Ribeiro Pinheiro Junior"
"PROJETO INCLUSÃO - DO MEDO À EMPATIA: COMBATE AO ASSÉDIO MORAL E SEXUAL NO AMBIENTE PROFISSIONAL E ACADÊMICO","O projeto ""inclusão- do medo à empatia: combate ao assédio moral e sexual no ambiente profissional e acadêmico"" é uma iniciativa de extensão que propõe uma abordagem abrangente e impactante na pugna ao assédio moral e sexual no cerne desse esforço está o desejo de transformar a experiência dos estudantes professores e profissionais permitindo que todos façam a transição ""do medo à empatia"". O assédio moral e sexual é uma preocupação crítica em muitos locais de trabalho e instituições acadêmicas afetando não apenas a integridade das pessoas mas também prejudicando seu bem-estar e desempenho. O projeto adotará várias estratégias para atingir seus objetivos. A conscientização e a educação desempenham um papel fundamental. Workshops palestras seminários e campanhas educativas estão planejados para informar e sensibilizar a comunidade acadêmica e profissionais do entorno sobre os perigos destas condutas nefastas. No que diz respeito ao viés sóciojurídico nosso projeto se concentrará na disseminação de informações sobre os direitos e responsabilidades legais relacionados ao assédio. Serão discutidas as implicações jurídicas e regulamentações de segurança no trabalho garantindo que os participantes compreendam as questões legais aqui envolvidas. Além disso o projeto promove a construção de uma cultura de empatia e respeito onde todos se sintam valorizados e protegidos. Essa base sólida de valores permitirá que as futuras gerações enfrentem desafios com segurança e compreensão mútua. Reconhecendo a interconexão entre o ambiente de trabalho saudável e a sustentabilidade ambiental o projeto incorpora igualmente práticas de consciência ambiental. A promoção de ambientes de trabalho livres de assédio é fundamental para o desenvolvimento sustentável pois locais de trabalho saudáveis contribuem para a qualidade de vida e bem-estar de todos os envolvidos.","Laura Dutra De Abreu"
"OBSERVATÓRIO DA PRESENÇA INDÍGENA NO ESTADO DO RIO DE JANEIRO (OPIERJ)","O projeto observatório da presença indígena no estado do rio de janeiro (opierj) é desenvolvido pelo programa de estudos dos povos indígenas (proíndio) da faculdade de educação da uerj em parceria com o núcleo de estudos sobre povos indígenas interculturalidade e educação (nepiie) da faculdade de educação da baixada fluminense tendo como objetivo reunir e disponibilizar um acervo sobre a presença e a qualidade de vida da população indígena no estado do rio de janeiro em uma plataforma digital (hipermídia) de acesso ilimitado e gratuito. Diante de um cenário de escassez de estudos e políticas públicas voltadas à população indígena no estado o opierj busca promover o conhecimento de suas realidades socioculturais e suas múltiplas interações em contexto urbano através de duas linhas de pesquisa: a) presença histórica até a primeira metade do séc. Xx; e b) presença contemporânea a partir da segunda metade do séc. Xx focalizando quatro eixos: educação moradia saúde e cultura. Além disso busca promover a implementação da lei no 11.645/2008 que inclui no currículo oficial da rede escolar a obrigatoriedade do ensino de história e cultura indígena disponibilizando materiais diversos didáticos e paradidáticos sobre a temática. A plataforma é construída coletivamente por meio de parcerias e colaboradores visando à atualização de informações e recursos estratégicos para a ampliação dos conhecimentos sobre história e cultura indígena e a promoção dos direitos humanos no estado do rio de janeiro.","Leticia De Luna Freire"
"NINGUÉM SOLTA A MÃO DE NINGUÉM","O projeto ninguém solta a mão de ninguém é um espaço de luta resistência e fortalecimento de grupos que lutam por uma sociedade justa solidária amorosa e empática em tempos de desencanto. Um lugar de resistir e nos fortalecer na manutenção da democracia dos direitos humanos e das pautas minoritárias como a luta contra: a homofobia a misoginia o racismo o machismo e do projeto escola sem partido. Atualmente incorpora-se a nossa luta a questão da saúde pública por conta da pandemia causada pela covid 19; junto com ela a questão da vacinação. Nesse sentido objetiva promover debates através de rodas de conversa mesas redondas organização de cineclube saraus de música poesia exposições e demais expressões artísticas no intuito de nos mantermos de mãos dadas face às intempéreis que porventura possam nos enfraquecer. Objetiva ser um fórum permanente de discussão da educação em tempos de desencanto atualizando constantemente a discussão sobre o assunto ouvindo especialistas produzindo massa crítica sobre o assunto. De periodicidade mensal o ninguém solta a mão de ninguém é um observatório dos eventos ligados aos direitos humanos e das pautas minoritárias. Esse trabalho tem como referencial teórico boaventura souza santos irving goffman michael foucault eric hosbsbawn conceição evaristo chimamanda adichie entre outros intelectuais reconhecidos academicamente ou não que contribuam com a discussão sobre os temas propostos.","Maria Do Socorro Martins Calhau"
"LETRAMENTOS HUMANOS: ENSINO DE INGLÊS COMO LÍNGUA DE ATIVISMO NA DEFESA DOS DIREITOS HUMANOS","A língua inglesa por si carrega a memória do colonialismo e como consequência da globalização tornou-se um direito comum. Dessa forma é possível que a usemos como ferramenta de libertação em busca de uma pedagogia contra-hegemônica (bell hooks 2017) a partir da formação de docentes crítico-ativistas. Este projeto de extensão surge a partir da pesquisa realizada entre os anos de 2019 (cnpq) e 2021 (faperj) na qual foram levantados direcionamentos didáticos analisadas necessidades e demandas linguísticas para a produção de material didático de ensino de língua inglesa voltado ao contexto dos direitos humanos (mulico; costa 2021). Tal projeto tem como objetivo a oferta de curso de inglês nesse contexto e a formação de docentes crítico-reflexivos que possam transgredir o ensino baseado na ideologia do consumo e voltá-lo para uma forma de libertação através da aprendizagem da língua inglesa.","Patricia Helena Da Silva Costa"
"PORTUGUÊS PARA REFUGIADOS NO BRASIL","Neste projeto apresentamos proposta de caráter inovador no brasil por associar um trabalho efetivo de inserção de refugiados em nossa comunidade linguística fundamentado em perspectiva funcional que assegura práticas de ensino e formação a partir de necessidades básicas e de garantia de acesso aos direitos fundamentais bem como ao mercado de trabalho e aos bens culturais. Como parceira a cáritas/pares-rj é a instituição que recebe em conjunto com a onu/acnur e o ministério da justiça/mj os refugiados que chegam ao brasil. Entre as ações de acolhimento é oferecido curso de português por essa instituição e em 2014 a mesma procurou o departamento de educação de jovens e adultos da faculdade de educação da uerj solicitando apoio na reformulação do referido curso. A partir desse contato o supracitado departamento solicitou auxílio de professores do departamento de linguística e de línguas anglo-germânicas do instituto de letras para a coordenação do projeto de supervisão e elaboração de materiais didáticos. Desde então iniciou-se a supervisão e a elaboração de materiais didáticos de ensino de língua portuguesa a refugiados/as que se fundamentam em matrizes descritivas temático-funcionais contemplando temas de interesse dos alunos por meio do levantamento das necessidades funcionais de comunicação cotidianas e sua integração cultural no brasil e especificamente no rio de janeiro.","Poliana Coeli Costa Arantes"
